boundary_id,poly1,poly2,shift1,shift2,n_crimes,tau,se,pval,ci_lower,ci_upper,bandwidth,n_obs,n_eff_left,n_eff_right
5_9,5,9,6,2,2652,-0.5440781717479521,0.30401905826437914,0.07351524081497562,-1.1399445765599194,0.05178823306401514,495.572265314565,1705,161,191
3_11,3,11,8,4,4110,-0.35193381514361666,0.17014817788178743,0.038602798502069206,-0.6854181158270345,-0.018449514460198768,575.1490219825059,2399,299,328
5_10,5,10,6,3,1593,-0.27218100765105224,0.24014787109899202,0.2570508402172093,-0.7428621859690439,0.19850017066693937,526.8293322313302,1116,175,222
11_12,11,12,4,7,341,0.24430777228480405,0.8310846604431477,0.7687865146936284,-1.384588230287465,1.8732037748570733,133.17273312947356,277,8,21
9_10,9,10,2,3,416,-0.22317991777776558,0.45924841816786627,0.6269900357623247,-1.1232902773437736,0.6769304417882424,335.6029112401794,314,10,15
1_10,1,10,8,3,708,0.1921156961887145,0.26693785155437755,0.47170851639512273,-0.3310728789683647,0.7153042713457937,504.74731991987477,544,104,152
1_13,1,13,8,9,406,-0.12606123517800039,0.43516457095906863,0.7720562017168601,-0.9789681216055994,0.7268456512495987,269.837795178527,310,40,72
2_8,2,8,8,1,2960,0.11327120985548245,0.17551039719951678,0.5186798176684551,-0.2307228475678899,0.4572652672788548,618.2298756753261,1923,387,441
3_12,3,12,8,7,1507,0.07506497579628424,0.17299614184968581,0.6643528747113425,-0.2640012316934823,0.41413118328605075,439.0208204061653,1103,73,82
8_10,8,10,1,3,753,0.06429693751745291,0.22660546007328947,0.7766099621356802,-0.3798416029263235,0.5084354779612293,627.0702218732648,611,104,137
9_12,9,12,2,7,1197,0.05950137786851051,0.22296954116777212,0.7895779012493157,-0.3775108924697437,0.4965136482067647,546.0467144104275,905,116,113
8_9,8,9,1,2,652,-0.02278321112744819,0.15958554481211915,0.8864758747369095,-0.3355651314124045,0.28999870915750814,654.8459524514589,529,74,104
8_12,8,12,1,7,883,0.003444274254312374,0.19371559861058346,0.985814314993129,-0.37623132226604844,0.3831198707746732,526.411710319246,678,98,142
8_11,8,11,1,4,1839,-0.00127216279795217,0.1867089312063826,0.9945635637519534,-0.3672149435544286,0.36467061795852423,710.305510481478,1319,300,289
10_13,10,13,3,9,712,7.817265608223156e-4,0.21017004761988772,0.997032278754556,-0.41114399740322566,0.4127074505248703,686.7742426468958,527,81,112
